Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,206.699997,207.000000,201.100006,204.639999,201.925583,21700500
2020-03-09,195.619995,199.889999,193.929993,197.660004,195.038177,25502600
2020-03-10,205.529999,207.449997,200.800003,206.389999,203.652374,19022600
2020-03-11,201.649994,203.100006,196.110001,198.910004,196.271591,18908200
2020-03-12,186.500000,190.487000,183.929993,185.100006,182.644775,30247100
2020-03-13,194.899994,195.990005,187.809998,194.000000,191.426712,23650500
2020-03-16,176.149994,188.000000,174.500000,178.850006,176.477676,26628500
2020-03-17,181.259995,189.389999,179.690002,184.809998,182.358612,19276500
2020-03-18,176.000000,182.410004,170.000000,180.000000,177.612411,22054200
2020-03-19,179.259995,187.250000,177.389999,180.880005,178.480743,20905700
2020-03-20,187.740005,188.300003,180.000000,181.300003,178.895172,21006100
2020-03-23,175.270004,178.500000,169.949997,176.339996,174.000961,22554700
2020-03-24,183.089996,188.800003,181.179993,185.750000,183.286148,20801500
2020-03-25,185.820007,195.190002,184.514999,188.559998,186.058868,19605200
2020-03-26,188.639999,196.320007,187.600006,195.320007,192.729218,15416800
2020-03-27,189.970001,192.740005,188.000000,188.589996,186.088470,13376400
2020-03-30,187.479996,191.479996,187.009995,191.270004,188.732925,12254400
2020-03-31,192.000000,196.789993,190.600006,194.479996,191.900345,19084800
2020-04-01,189.500000,192.869995,185.039993,187.559998,185.072128,17948600
2020-04-02,186.080002,191.300003,185.692001,188.899994,186.394363,13412100
2020-04-03,190.119995,190.550003,185.410004,187.110001,184.628113,9483100
2020-04-06,194.740005,196.880005,192.699997,196.449997,193.844208,13248700
2020-04-07,200.050003,201.449997,197.050003,198.000000,195.373657,14934500
2020-04-08,198.339996,198.860001,193.884003,195.979996,193.380447,13608000
2020-04-09,198.649994,200.350006,193.399994,196.369995,193.765274,17821300
2020-04-13,197.399994,200.324997,195.529999,199.440002,196.794556,16117900
2020-04-14,204.949997,207.970001,204.250000,204.779999,202.063721,16757100
2020-04-15,204.770004,209.149994,201.309998,208.169998,205.408752,10768100
2020-04-16,210.529999,213.250000,209.119995,212.660004,209.839203,16353800
2020-04-17,214.979996,214.979996,208.850998,209.500000,206.721115,13558500
2020-04-20,209.869995,216.100006,209.360001,212.130005,209.316238,19295400
2020-04-21,209.899994,212.130005,205.029999,207.339996,204.589767,14107600
2020-04-22,212.000000,212.000000,209.210007,209.960007,207.175018,13471100
2020-04-23,210.240005,210.559998,203.460007,205.240005,202.517624,20424000
2020-04-24,205.889999,206.500000,202.820007,204.360001,201.649292,14673900
2020-04-27,207.550003,207.779999,202.029999,203.690002,200.988190,17286800
2020-04-28,204.809998,205.190002,199.406998,201.149994,198.481873,17203800
2020-04-29,202.929993,207.080002,202.509995,206.699997,203.958252,19117800
2020-04-30,206.250000,206.699997,199.289993,202.669998,199.981705,20107400
2020-05-01,195.750000,197.380005,192.860001,194.479996,191.900345,22276200
2020-05-04,194.759995,195.000000,189.529999,191.149994,188.614517,25709400
2020-05-05,196.380005,198.270004,194.199997,195.020004,192.433182,22957200
2020-05-06,197.669998,198.910004,194.929993,195.169998,192.581192,18598900
2020-05-07,198.000000,198.089996,194.779999,196.490005,193.883698,16164600
2020-05-08,199.800003,203.020004,198.679993,201.190002,198.521347,23819700
2020-05-11,202.779999,206.639999,202.380005,205.399994,202.675491,17920700
2020-05-12,206.949997,208.050003,200.020004,200.309998,197.653015,17826800
2020-05-13,203.619995,204.679993,197.979996,199.460007,196.814301,22429700
2020-05-14,195.500000,201.770004,194.029999,201.300003,198.629883,20025900
2020-05-15,200.699997,204.490005,200.100006,203.679993,200.978302,17209500
2020-05-18,212.500000,215.470001,210.369995,215.279999,212.424454,23556600
2020-05-19,216.729996,220.589996,215.190002,217.199997,214.318985,21438100
2020-05-20,220.000000,221.156998,210.580002,216.789993,213.914413,38324100
2020-05-21,211.289993,214.580002,209.529999,212.160004,209.345840,29850700
2020-05-22,203.229996,204.880005,198.990005,199.699997,197.051102,51979300
2020-05-26,205.940002,206.800003,201.000000,201.720001,199.044312,28683200
2020-05-27,202.990005,202.990005,196.750000,201.179993,198.511475,23605400
2020-05-28,199.000000,202.369995,197.619995,199.490005,196.843903,18763200
2020-05-29,200.000000,207.880005,196.699997,207.389999,204.639099,43179500
2020-06-01,205.899994,207.199997,203.940002,206.570007,203.829987,16169700
2020-06-02,207.210007,214.570007,207.169998,214.330002,211.487045,22485800
2020-06-03,215.600006,218.970001,213.750000,218.610001,215.710281,19999500
2020-06-04,217.279999,220.000000,216.320007,218.039993,215.147827,14962400
2020-06-05,220.000000,220.589996,218.699997,219.550003,216.637817,11983200
2020-06-08,219.600006,220.399994,215.330002,219.000000,216.095108,12731200
2020-06-09,216.309998,220.720001,216.199997,220.720001,217.792297,14140100
2020-06-10,222.000000,225.000000,220.600006,223.679993,220.713028,13372400
2020-06-11,218.000000,219.949997,213.559998,215.240005,212.384979,15560300
2020-06-12,218.500000,219.500000,213.880005,217.639999,214.753143,12716500
2020-06-15,214.110001,217.720001,212.750000,217.029999,214.151230,17419900
2020-06-16,221.000000,224.839996,220.100006,222.619995,219.667084,17212400
2020-06-17,224.399994,225.000000,222.500000,224.250000,221.275467,12486700
2020-06-18,223.740005,226.029999,222.919998,223.539993,220.574875,10358800
2020-06-19,226.380005,226.500000,220.089996,220.639999,217.713348,19545200
2020-06-22,220.919998,222.080002,219.445007,221.410004,218.473145,13303600
2020-06-23,225.119995,230.225006,224.529999,228.750000,225.715775,18263400
2020-06-24,228.300003,231.029999,224.251999,226.220001,223.219345,12159500
2020-06-25,224.589996,224.690002,220.869995,222.160004,219.213196,14953100
2020-06-26,222.210007,222.259995,213.500000,215.710007,212.848755,19340600
2020-06-29,215.029999,216.500000,211.820007,215.020004,212.167908,12333000
2020-06-30,215.740005,216.429993,212.889999,215.699997,212.838882,12933800
2020-07-01,215.809998,216.550003,214.740005,215.949997,213.085556,11788100
2020-07-02,221.850006,225.024994,220.059998,223.600006,220.634094,18128700
2020-07-06,233.309998,240.479996,232.820007,240.000000,236.816559,33702900
2020-07-07,241.009995,241.300003,236.130005,236.509995,233.372849,16491600
2020-07-08,244.860001,258.489990,244.020004,257.679993,254.262039,39922700
2020-07-09,265.549988,268.000000,255.910004,261.579987,258.110291,36803900
2020-07-10,260.209991,261.899994,255.710007,261.010010,257.547882,20335000
2020-07-13,261.450012,265.660004,250.679993,251.669998,248.331757,21568700
2020-07-14,246.570007,249.750000,241.229996,248.580002,245.282745,19782600
2020-07-15,251.479996,252.500000,246.539993,249.210007,245.904388,12614700
2020-07-16,241.770004,245.050003,240.740005,242.500000,239.283386,18032100
2020-07-17,246.550003,247.929993,244.479996,247.139999,243.861847,18742400
2020-07-20,256.450012,257.670013,252.429993,254.809998,251.430099,19015000
2020-07-21,261.209991,261.920013,256.519989,257.899994,254.479111,17120700
2020-07-22,255.759995,256.269989,249.600006,251.699997,248.361359,19682200
2020-07-23,252.100006,257.660004,248.690002,251.880005,248.538971,25712000
2020-07-24,244.960007,249.479996,241.889999,249.000000,245.697174,17221500
2020-07-27,247.110001,252.869995,245.809998,250.860001,247.532501,18966900
